X1,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,BusinessAcceptsCreditCards,BikeParking,GoodForKids,ByAppointmentOnly,RestaurantsPriceRange2,DogsAllowed,RestaurantsTakeOut,RestaurantsReservations,RestaurantsGoodForGroups,HasTV,RestaurantsDelivery,OutdoorSeating,Caters,WheelchairAccessible,RestaurantsTableService,HappyHour,BusinessAcceptsBitcoin,BYOB,Corkage,GoodForDancing,CoatCheck,DriveThru,AgesAllowed,RestaurantsCounterService,Open24Hours,alcohol_beer_and_wine,alcohol_full_bar,alcohol_none,touristy,hipster,romantic,intimate,trendy,upscale,classy,casual,divey,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,bn_monday,bn_tuesday,bn_friday,bn_wednesday,bn_thursday,bn_sunday,bn_saturday,garage,street,validated,lot,valet,byobcorkage_no,byobcorkage_yes_corkage,byobcorkage_yes_free,dairy-free,gluten-free,vegan,kosher,halal,soy-free,vegetarian,music_dj,music_background_music,music_no_music,music_jukebox,music_live,music_video,music_karaoke,wifi_free,wifi_no,wifi_paid
53749,sBoifVfW-caU7Hq05QMJgw,El Rincon Tico,1133 Williamson  St,Madison,WI,53703,43.082528,-89.36483100000001,3,14,0,"Latin American, Restaurants, Food","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",1,,1,,2,,1,1,1,0,1,0,1,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
54082,v2AAGuPuH2QGGwosWZw_qA,McDonald's,3709 Kinsman Blvd,Madison,WI,53704,43.125315352,-89.3244300076,2,4,1,"Fast Food, Restaurants, Burgers, Food, Coffee & Tea","{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-23:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",1,,1,,1,,1,0,0,,1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
54339,rQl6EuSaEfFLJhMw9lR0xQ,Madison Chocolate Company,729 Glenway St,Madison,WI,53711,43.053080870500004,-89.43532470059999,5,36,1,"Food, Chocolatiers & Shops, Cafes, Specialty Food, Restaurants","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '8:0-16:0'}",1,1,0,,2,,1,0,0,0,0,1,0,1,0,,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
54341,UFyzcr1y2r3y-e_tNpA9VA,Smoky Jon's No 1 BBQ,2310 Packers Ave,Madison,WI,53704,43.123698,-89.355581,4,235,1,"Restaurants, Fast Food, Barbeque","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,1,1,,2,0,1,0,0,1,0,0,1,,,0,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
54410,C63sF-wG4f1doMIMv2qvOg,Cafe Porta Alba,558 N Midvale Blvd,Madison,WI,53705,43.072077,-89.45225500000001,4,176,0,"Pizza, Italian, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-20:0'}",1,1,1,,2,,1,0,1,0,0,1,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,,,,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
54505,QxpEiXIt3M_SC02DIfTmzw,Cowboy Jack's,1262 John Q Hammons Dr,Madison,WI,53717,43.08650432899999,-89.5249513717,3,23,0,"Burgers, American (Traditional), Restaurants","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-1:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '10:0-1:0'}",1,,,,,,,,,1,,1,,,,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
54516,A5tvf0CSH-QUnpyMI4m5ww,Jade Monkey Cocktail Lounge,109 Cottage Grove Rd,Madison,WI,53716,43.0834639,-89.3241989,4,44,1,"Lounges, American (New), Bars, Nightlife, Restaurants, Beer, Wine & Spirits, Food","{'Monday': '16:0-2:30', 'Tuesday': '16:0-2:30', 'Wednesday': '16:0-2:30', 'Thursday': '16:0-2:30', 'Friday': '14:0-2:30', 'Saturday': '16:0-2:30', 'Sunday': '18:0-2:30'}",0,1,0,,1,,0,0,1,1,0,1,,,,1,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,0,0,0,1,0,0,0,1,0,0
54651,EFOQdRak3K15hIuN2Q3Cpg,wiener shop,447 W Gilman St,Madison,WI,53703,43.0736723016,-89.3948453665,4,25,0,"Hot Dogs, Vegan, American (New), Restaurants","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0'}",1,1,1,,1,,1,0,0,0,0,1,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,1,0
54788,O615O_US381DcvkxwuEz7A,Barriques,961 S Park St,Madison,WI,53715,43.0568058641,-89.3984472037,4,59,1,"Beer, Wine & Spirits, Cafes, Restaurants, Coffee & Tea, Food","{'Monday': '6:0-20:0', 'Tuesday': '7:0-18:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Friday': '6:0-20:0', 'Saturday': '6:30-19:0', 'Sunday': '7:0-19:0'}",1,1,1,,1,,1,0,1,0,,1,0,,,,,,,,,,,,,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
55078,jux9zFaGcIRjrMIBaVJsHQ,Burger King,719 W Badger Rd,Madison,WI,53713,43.038112,-89.393016,3,10,1,"Burgers, Food, Restaurants, Fast Food","{'Monday': '6:0-0:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-0:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '7:0-0:0'}",1,1,0,,1,,1,0,0,1,1,0,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,0,0
55098,JtJnFY3tThBoxpDMxLFLow,Le Petit Croissant,1310 S Midvale Blvd,Madison,WI,53711,43.0383601531,-89.4519029194,4,41,0,"Cafes, Sandwiches, Food, Restaurants, Bakeries, Coffee & Tea","{'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-16:0', 'Sunday': '8:0-14:0'}",1,0,1,,1,,1,0,0,0,0,0,0,,0,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
55110,9G0wtEYtr5ZHMmKhHANM7w,Señor Machetes,121 East Main St,Madison,WI,53703,43.075067733599994,-89.3810859301,4.5,22,1,"Restaurants, Mexican, New Mexican Cuisine","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-21:0'}",,,1,,,,1,,,1,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,,,,,0,0,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
55305,23zWerfT238BCU9sFCBN7w,Capital Cafe,"975 University Ave, Fl 1, Grainger Hall",Madison,WI,53706,43.07305170000001,-89.4012302,3,4,1,"Food, Restaurants, Sandwiches, Salad, Coffee & Tea, Cafes","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0'}",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
55364,BwWbwhIWfc9A0fPShp-WmA,Oliver's Public House,2540 University Ave,Madison,WI,53705,43.0725542026,-89.4300975757,3.5,211,0,"American (Traditional), American (New), Breakfast & Brunch, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '15:0-22:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-14:0'}",1,1,0,,2,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
55412,OQKDN1QxWQvUuambyNHGbA,Zam Zam Catering & Mobile Cuisine,1215 W Dayton St,Madison,WI,53715,43.0710301,-89.4064136,3.5,3,0,"Restaurants, Afghan, Food, Food Trucks","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",,,1,,,,1,0,,0,,,1,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
55465,PT0N41nUD3CErvn046JEhg,Red Pepper Chinese Restaurant,1518 N Stoughton Rd,Madison,WI,53704,43.117649799999995,-89.32545809999999,4.5,3,0,"Restaurants, Chinese",,,,1,,,,,,,,,0,,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
55558,XAgJSBOBGw4_qqRsO60CNQ,Starbucks,661 State Street,Madison,WI,53703,43.074789,-89.39700699999999,3.5,47,1,"Restaurants, Coffee & Tea, Food","{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-23:0'}",1,1,,0,2,,1,,,,0,1,0,,,,,,,,,,,,,0,0,1,,,,,,,,,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
55749,xMn3YvKFLqpBab0icUou1g,Chen's Dumpling House,505 State St,Madison,WI,53703,43.074658899999996,-89.39396509999999,4,75,1,"Chinese, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,,0,,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
56028,hgdJyNg58p1It_b7ElAxgw,Firehouse Subs,449A State St.,Madison,WI,53703,43.074475,-89.393396,4.5,3,0,"Sandwiches, Fast Food, Delis, Restaurants","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-21:0'}",1,1,1,,2,,1,0,1,1,1,0,,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
56376,bGAweH0aQRfqNx59BIAOaA,The Grill House Local Tavern,102 King St,Madison,WI,53703,43.074789700000004,-89.3815166,3,15,0,"Soup, American (Traditional), Restaurants, Sandwiches","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,,0,,2,,0,0,1,,0,1,,,,1,,,,,,,,,,0,1,0,,,,,,,,,,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
56474,zEGAtxktaC-r5IvvZVgjoA,The Bar,1 W Dayton St,Madison,WI,53703,43.075625,-89.386593,4.5,13,1,"American (Traditional), Lounges, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services, Restaurants, Hotels, Hotels & Travel, Tapas/Small Plates, Sandwiches","{'Monday': '14:0-1:0', 'Tuesday': '14:0-1:0', 'Wednesday': '14:0-1:0', 'Thursday': '14:0-1:0', 'Friday': '14:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-0:0'}",1,,0,,2,,1,0,1,1,0,0,,,,1,,,,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,0
56521,9w18Hgg_UmI18YyVTP_E3Q,Fuzzy's Taco Shop,3519 University Ave,Madison,WI,53719,43.0751082,-89.4476881,3.5,71,0,"Restaurants, Mexican, Sandwiches","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-20:0'}",1,,1,,1,,1,0,1,1,1,1,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
56664,aYjZc-3aVbPIPaJgGiUK_A,Nostrano,111 S Hamilton St,Madison,WI,53703,43.072631,-89.384011,4,184,0,"Restaurants, Italian, Mediterranean","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}",1,1,0,,3,,0,1,0,0,0,1,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
56751,alUQ8F8tom1kTsk4353I2A,Copps Food Center,2502 Shopko Dr,Madison,WI,53704,43.112943,-89.349625,2.5,11,0,"Grocery, Specialty Food, Meat Shops, Food, Beer, Wine & Spirits, Delis, Restaurants, Health Markets","{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-23:0', 'Saturday': '6:0-23:0', 'Sunday': '6:0-23:0'}",1,1,1,,2,,1,0,1,0,0,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
57142,keQlXWfz2K7GukqaReVyow,Ichiban Sichuan,610 S Park St,Madison,WI,53715,43.060654,-89.4011292,3.5,194,1,"Food, Chinese, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-22:0'}",1,1,1,,2,,1,1,1,1,1,0,0,,,0,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
57268,8Rydf8hXleCwbCN9nvmZ4Q,Chipotle Mexican Grill,658 State St,Madison,WI,53703,43.075146600000004,-89.3965677,3.5,43,1,"Restaurants, Mexican, Fast Food","{'Monday': '10:45-22:0', 'Tuesday': '10:45-22:0', 'Wednesday': '10:45-22:0', 'Thursday': '10:45-22:0', 'Friday': '10:45-22:0', 'Saturday': '10:45-22:0', 'Sunday': '10:45-22:0'}",1,1,1,,1,,1,0,1,1,1,1,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
57360,q7O9lH4PaBZj3FTIhRYnkQ,Harold's Chicken,707 S Gammon Rd,Madison,WI,53719,43.049545,-89.5027583,3.5,30,0,"Fast Food, Chicken Wings, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}",1,1,1,,1,,1,0,1,1,1,1,1,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
57544,s8sAe29mA8q1eQwdC1qAKw,Wendy's,534 State St,Madison,WI,53703,43.075128899999996,-89.394324,2,10,0,"Burgers, Fast Food, Restaurants","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,1,1,,1,,1,0,1,0,0,0,,,1,,,,,,,0,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,1,0,0
57797,kEIe_lyBKdFB6Hv_wsUYaw,Curry in the Box,3519 University Ave,Madison,WI,53705,43.074867600000005,-89.4475791,3.5,78,1,"Restaurants, Thai, Indian","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",1,1,1,,1,0,1,0,1,0,1,1,1,1,0,,0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
57938,_tJ1mf_KEL4sx5fh9DTtTw,McDonald's,4020 Milwaukee St,Madison,WI,53704,43.098932284700005,-89.31483848959999,1.5,24,1,"Restaurants, Burgers, Food, Fast Food, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,,1,,1,,1,0,1,,1,,,,,,,,,,,1,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0
58064,7kpF2ohwt0PPi-cK69R1_g,Smiley's II,1272 S Park St,Madison,WI,53715,43.053036543400005,-89.39616974299999,2.5,3,0,"Restaurants, Latin American","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
58222,Lvg2y48cv7xFUJBqoUXmvw,Happy Grill Mexican Restaurant,"2810 E Washington Ave, Ste A",Madison,WI,53704,43.102869,-89.3457212,3,16,0,"Mexican, Restaurants","{'Monday': '10:30-21:30', 'Tuesday': '10:30-21:30', 'Wednesday': '10:30-21:30', 'Thursday': '10:30-21:30', 'Friday': '10:30-21:30', 'Saturday': '10:30-21:30', 'Sunday': '10:30-21:30'}",1,,1,,1,,1,0,1,1,1,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
58504,p5LmGtCNBI74xmwhSmyo8Q,Jade Mountain Tea Company,2611 E Johnson St,Madison,WI,53704,43.102963,-89.349804,4.5,124,1,"Coffee & Tea, Food, Taiwanese, Specialty Food, Restaurants, Ethnic Food, Bubble Tea","{'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",1,1,1,,1,,1,0,1,1,1,1,0,,0,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
58688,6keyv1LcbzdD8MCrRaA0nQ,Outback Steakhouse,279 Junction Rd,Madison,WI,53717,43.065887200000006,-89.5239951,2.5,78,1,"Steakhouses, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:0'}",1,1,1,,2,,1,1,1,1,1,1,1,,1,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
58804,XggUqVcri5eth2_ZqILqqA,Little Caesar's Pizza,700 S Gammon Rd,Madison,WI,53719,43.0497827,-89.5039952,3.5,12,1,"Restaurants, Pizza",,1,,1,,1,,1,0,1,1,1,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
58805,k76zkFY6PbIW4T_Riq15pQ,Indie Coffee,1225 Regent St,Madison,WI,53715,43.067526,-89.406553,4.5,126,1,"Restaurants, Food, Cafes, Coffee & Tea, Breakfast & Brunch","{'Monday': '6:30-20:0', 'Tuesday': '6:30-20:0', 'Wednesday': '6:30-20:0', 'Thursday': '6:30-20:0', 'Friday': '6:30-20:0', 'Saturday': '7:30-20:0', 'Sunday': '7:30-20:0'}",1,1,1,0,1,,1,0,0,0,0,1,1,,,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,1,0,0
58880,Xu6mEU7IbKlWic1ETgUOeA,Nadia's Restaurant & Grapevine Lounge,508 State St,Madison,WI,53703,43.075183200000005,-89.39363459999998,3,11,0,"Restaurants, French",,1,,0,,3,,0,1,0,,0,0,,,,,,,,,,,,,,0,1,0,,,,,,,,,,1,0,0,0,0,,,,,,,,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,0,0,0
58883,dUtSIQouki34zUC2Se-NzA,Taco Bell,1920 S Park St,Madison,WI,53713,43.0448,-89.39393299999999,3.5,4,0,"Tex-Mex, Mexican, Restaurants, Fast Food","{'Monday': '7:0-2:0', 'Tuesday': '7:0-2:0', 'Wednesday': '7:0-2:0', 'Thursday': '7:0-2:0', 'Friday': '7:0-3:30', 'Saturday': '7:0-3:30', 'Sunday': '7:0-2:0'}",,,,,,,,0,,,,1,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0
59179,KAhavksKQwKbMzZHiNOyOQ,Gino's Restaurant,540 State St,Madison,WI,53703,43.075131,-89.39444499999999,3.5,38,0,"Italian, Pizza, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,,1,,2,,1,1,1,1,1,1,1,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,0,0,0
59601,iiEjVLb4JDLE2xl8YGR-Gw,Chili King,602 S Park St,Madison,WI,53715,43.0608156262,-89.4010070761,3.5,33,0,"Chinese, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,0,1,,2,,1,0,1,0,1,0,0,,1,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0
59771,uoV4aDfXbRmvyHSezdn--w,Tai's Asian Bistro,638 S Whitney Way,Madison,WI,53719,43.051829081,-89.47570219049999,3.5,95,1,"Chinese, Asian Fusion, Restaurants","{'Monday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:0'}",1,1,1,,1,,1,0,1,1,1,0,1,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
59888,cCBySJPR4i7WFfEt8gjArg,Bahn Thai Restaurant,944 Williamson St,Madison,WI,53703,43.0806833,-89.3685159,3.5,77,0,"Chinese, Restaurants, Thai","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-21:0'}",1,1,1,,2,,1,0,1,0,1,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,1,0
60133,yLH9mFFwOlzFB_fYKpSyLw,The Paradise Lounge,119 W Main St,Madison,WI,53703,43.07282563770001,-89.38454769549999,4,76,1,"Dive Bars, American (New), Food, Beer, Wine & Spirits, Bars, Nightlife, Restaurants","{'Monday': '9:0-1:0', 'Tuesday': '9:0-1:0', 'Wednesday': '9:0-1:0', 'Thursday': '9:0-1:0', 'Friday': '9:0-2:30', 'Saturday': '9:0-2:30', 'Sunday': '9:0-2:0'}",1,1,0,,1,,1,0,1,1,0,0,0,,0,1,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,1,0
